Survey,Class,Class_descriptions
'MO_01_LMRX_20230518_CS_30_6_31_5_SORT_A.png',2,'1 - single bedform scale'
'MO_01_LMR_20210204_CS_43_3_44_3_SORT_A.png',1,'2 - second scale likely'
'MO_01_LMR_20210329_CS_24_8_26_0_SORT_A.png',3,'3 - complex or uncertain larger scale behavior'
'MO_01_LMR_20210329_CS_42_0_44_7_SORT_A.png',1,
'MO_01_LMR_20210428_CS_90_0_90_0_SORT_A.png',2,
'MO_01_LMR_20210602_CS_42_5_44_5_SORT_A.png',1,
'MO_01_LMR_20210609_CS_24_8_26_0_SORT_A.png',1,
'MO_01_LMR_20210622_CS_90_0_92_5_SORT_A.png',1,
'MO_01_LMR_20210706_CS_90_0_92_5_SORT_A.png',1,
'MO_01_LMR_20210802_CS_90_5_92_0_SORT_A.png',1,
'MO_01_LMR_20210809_CS_90_5_92_5_SORT_A.png',1,
'MO_01_LMR_20210816_CS_42_5_44_5_SORT_A.png',1,
'MO_01_LMR_20210819_CS_56_0_57_0_SORT_A.png',1,
'MO_01_LMR_20210823_CS_58_5_59_0_SORT_A.png',3,
'MO_01_LMR_20210825_CS_90_5_92_5_SORT_A.png',1,
'MO_01_LMR_20210921_CS_90_0_92_5_SORT_A.png',1,
'MO_01_LMR_20210930_CS_60_0_61_0_SORT_A.png',2,
'MO_01_LMR_20211013_CS_56_0_57_0_SORT_A.png',2,
'MO_01_LMR_20211015_CS_56_0_57_0_SORT_A.png',2,
'MO_01_LMR_20211118_CS_23_8_26_0_SORT_A.png',3,
'MO_01_LMR_20220329_CS_60_0_61_0_SORT_A.png',1,
'MO_01_LMR_20220330_CS_41_0_41_4_SORT_A.png',1,
'MO_01_LMR_20220330_CS_42_5_44_5_SORT_A.png',1,
'MO_01_LMR_20220407_CS_90_0_92_5_SORT_A.png',3,
'MO_01_LMR_20220419_CS_56_0_57_0_SORT_A.png',1,
'MO_01_LMR_20220421_CS_41_0_41_3_SORT_A.png',1,
'MO_01_LMR_20220421_CS_42_5_44_5_SORT_A.png',1,
'MO_01_LMR_20220426_CS_60_0_61_0_SORT_A.png',3,
'MO_01_LMR_20220708_CS_58_7_59_1_SORT_A.png',3,
'MO_01_LMR_20220715_CS_56_0_57_0_SORT_A.png',1,
'MO_01_LMR_20220729_CS_90_0_92_5_SORT_A.png',1,
'MO_01_LMR_20220805_CS_60_0_61_0_SORT_A.png',3,
'MO_01_LMR_20220817_CS_48_3_43_9_SORT_A.png',3,
'MO_01_LMR_20220826_CS_90_0_92_5_SORT_A.png',1,
'MO_01_LMR_20220909_CS_48_3_48_8_SORT_A.png',3,
'MO_01_LMR_20220915_CS_19_1_19_6_SORT_A.png',3,
'MO_01_LMR_20220922_CS_19_1_19_6_SORT_A.png',3,
'MO_01_LMR_20220925_CS_90_0_91_5_SORT_A.png',1,
'MO_01_LMR_20221006_CS_48_2_48_8_SORT_A.png',3,
'MO_01_LMR_20221114_CS_48_0_48_5_SORT_A.png',2,
'MO_01_LMR_20221116_CS_60_0_61_0_SORT_A.png',3,
'MO_01_LMR_20230320_CS_48_0_48_5_SORT_A.png',1,
'MO_01_LMR_20230321_CS_56_0_57_0_SORT_A.png',2,
'MO_01_LMR_20230321_CS_60_0_61_0_SORT_A.png',1,
'MO_01_LMR_20230322_CS_42_5_44_5_SORT_A.png',1,
'MO_01_LMR_20230323_CS_24_8_26_0_SORT_A.png',1,
'MO_01_LMR_20230405_CS_19_1_19_7_SORT_A.png',1,
'MO_01_LMR_20230405_CS_24_7_26_1_SORT_A.png',2,
'MO_01_LMR_20230410_CS_40_8_41_3_SORT_A.png',1,
'MO_01_LMR_20230410_CS_42_0_42_3_SORT_A.png',1,
'MO_01_LMR_20230410_CS_48_0_48_5_SORT_A.png',1,
'MO_01_LMR_20230411_CS_90_0_92_6_SORT_A.png',1,
'MO_01_LMR_20230418_CS_56_0_57_0_SORT_A.png',3,
'MO_01_LMR_20230418_CS_60_0_61_0_SORT_A.png',2,
'MO_01_LMR_20230419_CS_42_5_44_5_SORT_A.png',1,
'MO_01_LMR_20230424_CS_19_1_19_7_SORT_A.png',1,
'MO_01_LMR_20230424_CS_24_8_26_0_SORT_A.png',1,
'MO_01_LMR_20230516_CS_48_0_48_5_SORT_A.png',1,
'MO_01_LMR_20230518_CS_30_7_31_5_SORT_A.png',2,
'MO_01_LMR_20230525_CS_89_5_90_1_SORT_A.png',3,
'MO_01_LMR_20230531_CS_33_5_35_5_SORT_A.png',3,
'MO_01_LMR_20230601_CS_42_5_44_5_SORT_A.png',3,
'MO_01_LMR_20230605_CS_40_9_42_3_SORT_A.png',1,
'MO_01_LMR_20230605_CS_42_0_42_3_SORT_A.png',1,
'MO_01_LMR_20230606_CS_65_5_66_3_SORT_A.png',1,
'MO_01_LMR_20230627_CS_31_0_32_0_SORT_A.png',3,
'MO_01_LMR_20230627_CS_38_8_39_2_SORT_A.png',3,
'MO_01_LMR_20230719_CS_90_0_92_5_SORT_A.png',1,
'MO_01_LMR_20230801_CS_24_8_26_0_SORT_A.png',1,
'MO_01_LMR_20230823_CS_48_0_48_5_SORT_A.png',1,
'MO_01_LMR_20230823_CS_56_0_57_0_SORT_A.png',2,
'MO_01_LMR_20230906_CS_20_0_20_6_SORT_A.png',1,
'MO_01_LMR_20230916_CS_20_0_21_0_SORT_A.png',3,
'MO_01_LMR_20230927_CS_20_0_20_6_SORT_A.png',3,
'MO_01_LMR_20231024_CS_41_0_42_0_SORT_A.png',1,
'MO_01_LMR_20231024_CS_42_0_42_5_SORT_A.png',1,
'MO_01_LMR_20231024_CS_43_5_44_5_SORT_A.png',3,
'MO_01_LMR_20231108_CS_41_0_41_3_SORT_A.png',1,
'MO_01_LMR_20231108_CS_42_0_42_3_SORT_A.png',1,
'MO_01_LMR_20231109_CS_33_6_34_6_SORT_A.png',1,
'MO_01_LMR_20231110_CS_32_0_32_5_SORT_A.png',1,
'MO_01_LMR_20231112_CS_43_5_44_5_SORT_A.png',1,
