X Y Z
1100806.56 14283510.70 6.40
1100816.30 14283473.33 9.09
1100815.78 14283477.36 8.60
1100814.76 14283482.41 8.63
1100814.40 14283486.45 8.37
1100813.52 14283493.37 8.04
1100812.10 14283494.00 7.87
1100811.15 14283499.93 8.04
1100811.12 14283506.99 7.68
1100809.15 14283511.68 7.55
1100808.20 14283516.14 7.51
1100807.38 14283522.77 7.19
1100807.81 14283527.53 7.58
1100807.41 14283531.17 7.74
1100806.23 14283538.12 8.07
1100807.12 14283540.06 8.14
1100806.23 14283544.85 8.40
1100805.08 14283550.72 8.69
1100805.12 14283553.35 8.89
1100803.87 14283558.63 8.99
1100804.10 14283566.57 9.12
1100803.90 14283569.55 9.42
1100854.36 14283215.58 10.20
1100854.46 14283217.88 10.10
1100853.12 14283222.15 10.01
1100852.26 14283231.04 9.97
1100850.95 14283236.19 10.14
1100850.65 14283237.89 10.20
1100850.26 14283243.54 10.14
1100849.01 14283250.26 10.04
1100849.37 14283254.56 10.14
1100848.13 14283260.63 10.20
1100847.41 14283261.42 10.24
1100847.31 14283267.91 10.14
1100846.32 14283272.87 10.17
1100844.81 14283280.15 10.14
1100844.95 14283282.02 10.20
1100843.96 14283289.63 10.30
1100842.35 14283293.57 10.30
1100842.71 14283297.77 10.17
1100841.57 14283301.31 10.17
1100840.55 14283308.99 10.27
1100840.45 14283313.06 10.33
1100839.37 14283317.98 10.43
1100839.53 14283323.06 10.37
1100838.88 14283328.64 10.20
1100838.81 14283334.45 9.91
1100837.63 14283340.58 9.68
1100837.04 14283344.75 9.38
1100837.20 14283347.83 9.06
1100835.99 14283354.76 8.79
1100835.53 14283356.14 8.60
1100835.40 14283364.99 8.10
1100834.64 14283369.26 7.64
1100833.92 14283374.18 7.61
1100833.66 14283375.79 7.68
1100832.64 14283384.84 7.74
1100832.48 14283387.80 7.87
1100831.82 14283391.14 8.04
1100831.23 14283396.62 8.43
1100830.25 14283401.44 8.79
1100829.72 14283408.60 9.12
1100829.43 14283410.17 9.35
1100827.98 14283422.34 10.07
1100826.47 14283429.46 10.17
1100825.92 14283430.48 10.40
1100825.65 14283436.78 10.27
1100824.21 14283444.52 10.20
1100823.19 14283448.88 10.27
1100822.80 14283454.40 10.33
1100822.70 14283458.56 10.17
1100820.77 14283462.14 10.04
1100820.70 14283466.44 10.01
1100819.52 14283472.87 9.91
1100818.54 14283477.10 9.84
1100817.81 14283479.30 9.84
1100817.03 14283487.07 9.88
1100816.53 14283494.06 9.61
1100816.83 14283494.42 9.65
1100814.93 14283501.74 9.55
1100814.07 14283508.89 9.68
1100813.68 14283511.15 9.71
1100813.45 14283515.62 9.78
1100812.20 14283521.06 9.65
1100811.48 14283528.21 9.55
1100811.68 14283531.46 9.38
1100810.83 14283536.19 9.45
1100810.17 14283540.32 9.91
1100809.32 14283547.41 9.88
1100809.61 14283549.05 10.04
1100808.23 14283557.94 10.20
1100807.38 14283561.22 10.30
1100806.56 14283567.85 10.50
1100806.40 14283570.18 10.47
1100806.53 14283575.66 10.43
1100806.13 14283582.38 10.63
1100805.02 14283586.48 10.73
1100805.41 14283591.24 10.70
1100804.79 14283596.59 10.70
1100804.95 14283599.08 10.93
1100802.62 14283607.58 11.06
1100803.28 14283612.66 11.09
1100802.66 14283613.55 11.15
1100801.93 14283620.80 11.25
1100801.05 14283627.76 11.25
1100801.02 14283630.61 11.35
1100864.89 14283176.18 11.48
1100863.75 14283181.66 11.45
1100863.02 14283182.71 11.25
1100862.24 14283189.08 11.45
1100861.35 14283195.05 11.65
1100860.66 14283197.44 11.75
1100858.86 14283206.27 11.68
1100858.66 14283211.02 11.75
1100858.04 14283215.98 11.32
1100856.30 14283220.11 11.32
1100856.99 14283222.64 11.32
1100855.28 14283228.97 11.32
1100854.49 14283234.22 11.32
1100854.20 14283240.65 11.52
1100853.34 14283245.64 11.52
1100853.28 14283248.59 11.55
1100852.43 14283256.33 11.38
1100851.21 14283257.15 11.48
1100851.02 14283263.85 11.55
1100850.16 14283268.57 11.45
1100849.44 14283274.44 11.38
1100849.01 14283281.14 11.48
1100848.00 14283285.11 11.55
1100847.08 14283289.99 11.68
1100846.72 14283295.05 11.55
1100846.03 14283298.16 11.68
1100845.14 14283305.35 11.65
1100845.11 14283308.79 11.48
1100845.77 14283312.57 11.78
1100843.83 14283319.85 11.98
1100843.40 14283322.21 11.84
1100841.96 14283329.10 11.68
1100842.35 14283335.43 11.35
1100841.67 14283338.42 10.86
1100840.65 14283342.68 10.70
1100839.93 14283349.54 10.33
1100839.99 14283351.35 10.10
1100839.17 14283360.73 9.94
1100837.63 14283363.88 9.45
1100836.78 14283366.47 8.89
1100837.43 14283373.46 8.73
1100836.61 14283377.66 8.76
1100836.05 14283384.51 8.66
1100834.78 14283390.32 8.76
1100834.28 14283391.08 8.99
1100834.91 14283396.49 9.12
1100834.09 14283401.80 9.42
1100833.63 14283406.23 9.65
1100831.66 14283410.43 9.78
1100829.72 14283417.06 9.94
1100830.38 14283422.77 10.14
1100828.38 14283425.89 10.66
1100830.38 14283430.51 11.22
1100829.00 14283436.29 11.65
1100827.56 14283443.54 11.75
1100827.39 14283448.36 11.68
1100826.67 14283452.79 11.81
1100826.47 14283458.01 11.91
1100825.46 14283461.75 11.71
1100824.64 14283467.39 11.91
1100824.31 14283471.36 12.01
1100822.87 14283479.59 12.01
1100822.54 14283482.71 11.94
1100821.52 14283487.53 11.98
1100821.62 14283490.55 11.98
1100821.32 14283495.77 12.07
1100819.62 14283504.00 12.14
1100818.63 14283509.35 12.11
1100818.21 14283512.40 12.24
1100818.44 14283515.09 12.43
1100817.26 14283520.24 12.24
1100817.09 14283525.75 11.84
1100815.02 14283532.71 11.98
1100815.22 14283536.75 12.17
1100814.47 14283542.78 12.30
1100814.34 14283545.08 12.37
1100813.45 14283550.00 12.30
1100813.25 14283555.28 12.43
1100811.78 14283563.48 12.47
1100811.68 14283567.45 12.57
1100811.65 14283571.06 12.66
1100810.33 14283578.77 12.66
1100810.04 14283582.12 12.47
1100810.00 14283585.53 12.30
1100809.05 14283591.17 12.37
1100807.38 14283596.42 12.34
1100807.54 14283600.66 12.37
1100806.66 14283605.48 12.50
1100805.97 14283612.99 12.43
1100806.04 14283614.14 12.37
1100804.66 14283623.33 12.40
1100804.46 14283625.85 12.20
1100803.61 14283629.95 12.37
1100803.28 14283635.14 12.34
1100803.41 14283638.78 12.37
1100802.92 14283648.29 12.27
1100801.41 14283653.38 12.53
1100801.93 14283653.97 12.73
1100800.98 14283663.16 12.70
1100800.79 14283665.12 12.80
1100800.85 14283668.73 12.83
1100882.45 14283078.05 5.81
1100882.05 14283079.86 5.97
1100881.56 14283086.02 6.20
1100880.94 14283089.11 6.66
1100872.60 14283152.23 12.11
1100871.62 14283154.89 12.57
1100870.47 14283161.71 12.80
1100868.86 14283165.13 13.09
1100869.06 14283168.34 13.25
1100867.68 14283176.38 12.86
1100867.09 14283178.67 13.16
1100866.27 14283186.12 13.25
1100865.78 14283189.50 13.42
1100864.30 14283197.77 13.78
1100864.86 14283200.26 13.78
1100864.04 14283206.04 13.75
1100863.02 14283212.80 13.71
1100862.56 14283213.29 13.52
1100861.94 14283222.11 13.16
1100861.02 14283225.79 13.22
1100859.61 14283231.43 13.39
1100859.94 14283233.86 13.62
1100859.81 14283239.47 13.71
1100858.99 14283244.16 13.91
1100857.87 14283252.17 13.94
1100857.64 14283253.74 13.75
1100856.92 14283260.66 13.94
1100856.76 14283263.22 13.98
1100855.97 14283269.91 13.55
1100854.89 14283273.82 13.19
1100854.79 14283278.05 13.25
1100853.15 14283286.88 13.42
1100853.77 14283290.06 13.39
1100852.49 14283292.55 13.71
1100851.21 14283301.08 13.35
1100850.62 14283304.56 13.22
1100850.29 14283307.25 13.16
1100850.95 14283312.07 13.45
1100849.24 14283317.36 13.98
1100848.88 14283325.98 13.75
1100847.83 14283327.92 13.71
1100847.57 14283335.96 13.45
