X Y Z
1192132.56 14208587.98 21.16
1192129.05 14208593.29 21.23
1192126.16 14208597.88 21.42
1192135.65 14208583.97 21.52
1192122.06 14208617.96 21.82
1192139.45 14208580.59 21.82
1192127.34 14208608.19 22.01
1192124.16 14208613.37 22.11
1192125.31 14208623.31 22.21
1192127.21 14208617.93 22.41
1192128.79 14208602.48 22.41
1192135.97 14208574.20 22.47
1192139.39 14208588.76 22.60
1192129.48 14208613.20 22.60
1192129.84 14208626.66 22.77
1192130.69 14208621.73 22.90
1192140.44 14208570.19 22.93
1192130.86 14208597.78 23.23
1192133.71 14208592.99 23.29
1192138.96 14208565.37 23.36
1192133.45 14208617.44 23.72
1192131.77 14208606.81 23.98
1192133.38 14208630.49 24.48
1192134.17 14208612.09 24.51
1192138.89 14208593.39 24.77
1192133.18 14208601.92 24.87
1192135.61 14208597.46 24.87
1192135.32 14208622.85 24.90
1192137.88 14208615.47 25.49
1192136.40 14208607.36 25.89
1192137.94 14208627.02 26.28
1192140.80 14208575.77 22.28
1192144.34 14208579.67 22.57
1192144.31 14208585.81 22.57
1192165.40 14208621.18 22.77
1192162.19 14208626.59 22.90
1192164.68 14208638.86 22.93
1192149.39 14208579.58 23.10
1192161.04 14208611.96 23.16
1192160.74 14208635.02 23.16
1192144.96 14208573.15 23.20
1192160.38 14208621.77 23.26
1192164.65 14208644.41 23.33
1192159.79 14208640.70 23.43
1192158.84 14208630.40 23.43
1192159.56 14208616.81 23.46
1192148.47 14208568.75 23.52
1192154.61 14208638.70 23.56
1192152.05 14208574.23 23.62
1192159.86 14208645.95 23.69
1192155.72 14208623.90 23.69
1192144.08 14208566.32 23.72
1192154.02 14208631.81 23.79
1192156.74 14208609.30 23.85
1192154.74 14208643.88 23.88
1192142.08 14208561.14 23.92
1192154.84 14208618.59 24.02
1192150.15 14208548.05 24.05
1192154.61 14208579.97 24.11
1192161.01 14208606.41 24.11
1192152.44 14208536.63 24.18
1192146.05 14208551.00 24.18
1192143.59 14208555.36 24.25
1192150.80 14208542.90 24.28
1192149.92 14208641.12 24.28
1192150.80 14208622.26 24.28
1192149.06 14208586.86 24.28
1192154.12 14208613.60 24.34
1192150.31 14208635.38 24.38
1192147.00 14208560.25 24.38
1192149.33 14208629.41 24.38
1192154.67 14208569.60 24.38
1192162.97 14208650.25 24.41
1192155.17 14208546.83 24.41
1192165.40 14208603.92 24.51
1192151.56 14208552.94 24.51
1192153.17 14208605.72 24.51
1192155.33 14208540.80 24.57
