X Y Z
1374626.53 14223091.49 13.71
1374611.73 14223083.39 13.75
1374616.75 14223085.58 14.01
1374621.11 14223088.31 14.27
1374631.05 14223090.74 16.21
1374618.23 14223081.42 16.47
1374627.41 14223086.67 17.13
1374622.85 14223097.26 17.85
1374614.62 14223078.14 18.37
1374630.50 14223032.66 18.96
1374630.36 14223067.05 19.00
1374624.26 14223081.75 19.06
1374627.05 14223076.73 19.13
1374622.92 14223070.03 19.23
1374631.48 14223026.43 19.26
1374619.54 14223073.81 19.36
1374629.84 14223002.68 19.39
1374629.68 14223061.14 19.39
1374625.48 14223032.04 19.52
1374624.20 14223061.54 19.65
1374628.17 14223022.17 19.65
1374629.41 14223082.11 19.75
1374624.20 14223026.17 19.78
1374627.18 14223056.39 19.85
1374631.51 14223018.39 19.88
1374620.52 14223029.81 19.91
1374617.70 14223025.12 20.01
1374625.25 14223018.10 20.08
1374630.43 14223011.77 20.14
1374624.89 14223012.09 20.37
1374647.65 14223103.73 13.75
1374653.33 14223107.27 13.78
1374633.55 14223095.39 13.81
1374639.49 14223097.72 14.11
1374652.54 14223102.09 15.42
1374644.47 14223098.48 15.75
1374655.33 14222965.74 16.21
1374655.17 14222976.79 16.50
1374652.81 14222971.87 16.54
1374639.72 14223092.57 16.93
1374649.13 14222978.43 17.03
1374636.89 14222988.57 17.29
1374645.98 14222984.90 17.32
1374656.35 14222983.88 17.62
1374651.23 14222983.71 17.65
1374655.79 14223042.77 17.68
1374651.20 14223096.28 17.68
1374652.12 14223056.88 17.81
1374633.48 14222995.10 17.95
1374641.82 14222980.86 17.95
1374654.31 14223065.01 18.01
1374652.28 14223035.91 18.04
1374645.46 14223058.58 18.14
1374653.00 14222989.65 18.14
1374651.33 14223072.13 18.14
1374655.10 14223031.78 18.18
1374656.61 14223069.90 18.21
1374647.29 14223041.69 18.24
1374642.41 14223038.11 18.24
1374642.54 14222990.34 18.27
1374642.14 14223052.55 18.31
1374651.17 14223027.94 18.31
1374637.35 14223034.04 18.34
1374648.64 14223065.64 18.41
1374643.06 14223063.77 18.44
1374638.47 14222994.57 18.44
1374656.68 14223026.43 18.50
1374647.88 14223083.78 18.50
1374638.21 14223062.49 18.50
1374635.35 14223088.57 18.50
1374642.73 14223032.14 18.54
1374654.64 14223078.17 18.60
1374638.53 14223056.68 18.70
1374647.16 14222994.71 18.70
1374643.39 14223071.77 18.77
1374638.93 14223048.35 18.80
1374650.18 14223022.43 18.80
1374638.99 14223069.05 18.83
1374646.87 14223075.84 18.83
1374638.80 14223028.73 18.90
1374654.87 14223085.19 18.90
1374635.15 14223074.59 18.90
1374646.15 14223026.66 18.90
1374654.48 14222994.41 18.93
1374632.89 14223046.54 18.96
1374644.37 14223091.92 18.96
1374652.64 14223091.42 19.13
1374632.53 14223056.12 19.16
1374640.08 14223084.14 19.16
1374643.06 14223021.67 19.19
1374651.20 14223013.80 19.26
1374634.17 14223080.30 19.26
1374642.67 14223000.05 19.26
1374636.57 14223022.03 19.29
1374642.21 14223079.35 19.32
1374655.96 14222999.63 19.36
1374654.64 14223007.50 19.42
1374637.12 14223000.64 19.46
1374646.70 14223016.42 19.46
1374640.31 14223016.33 19.59
1374650.77 14223001.56 19.65
1374645.95 14223011.47 19.72
1374646.61 14223006.22 19.75
1374638.86 14223007.96 19.91
1374635.48 14223012.62 20.01
1374632.99 14223006.84 20.18
1374659.56 14223109.30 13.29
